stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:StopPlace:43384",,"La Marche",,44.92306,-0.287405,,,1,,,2,,
"MOBIITI:StopPlace:46411",,"Berles",,44.85944,-0.685199,,,1,,,0,,
"MOBIITI:StopPlace:44232",,"La Rouille",,44.64906,-0.461317,,,1,,,2,,
"MOBIITI:StopPlace:43383",,"Capet",,44.946667,-0.274086,,,1,,,2,,
"MOBIITI:StopPlace:44233",,"Le Bouscaut",,44.750385,-0.547566,,,1,,,2,,
"MOBIITI:StopPlace:43386",,"Le Chêne de Gombaud",,44.939552,-0.283083,,,1,,,2,,
"MOBIITI:StopPlace:44230",,"Larnavey",,44.657635,-0.474845,,,1,,,2,,
"MOBIITI:StopPlace:43385",,"Bourg",,44.923607,-0.271383,,,1,,,2,,
"MOBIITI:StopPlace:44231",,"Les Argelins",,44.666595,-0.478208,,,1,,,2,,
"MOBIITI:StopPlace:43388",,"Naudin",,44.925575,-0.301276,,,1,,,2,,
"MOBIITI:StopPlace:44236",,"Gassies",,44.615963,-0.543329,,,1,,,2,,
"MOBIITI:StopPlace:43387",,"Loiseau",,44.91912,-0.248127,,,1,,,2,,
"MOBIITI:StopPlace:44237",,"Bourg",,44.6066,-0.553766,,,1,,,2,,
"MOBIITI:StopPlace:44234",,"Martinet",,44.609905,-0.543812,,,1,,,2,,
"MOBIITI:StopPlace:43389",,"La Poste",,44.929497,-0.303687,,,1,,,2,,
"MOBIITI:StopPlace:44235",,"Entre 2 Mers",,44.61584,-0.542692,,,1,,,2,,
"MOBIITI:StopPlace:43380",,"La Pradelle",,45.021027,-0.309717,,,1,,,2,,
"MOBIITI:StopPlace:43382",,"Perron",,44.94156,-0.26968,,,1,,,2,,
"MOBIITI:StopPlace:43381",,"La Gare",,45.022778,-0.300402,,,1,,,2,,
"MOBIITI:StopPlace:46428","","BA 106","",44.81527,-0.709872,,,1,,,2,,
"MOBIITI:StopPlace:44249",,"Coeur de Bourg",,44.719402,-0.512243,,,1,,,2,,
"MOBIITI:StopPlace:43395",,"Le Basque",,44.9646,-0.306982,,,1,,,2,,
"MOBIITI:StopPlace:44243",,"Bigard",,44.664803,-0.495355,,,1,,,2,,
"MOBIITI:StopPlace:43394",,"Marot",,44.97655,-0.326293,,,1,,,2,,
"MOBIITI:StopPlace:44244",,"Mathalin",,44.6686,-0.494008,,,1,,,2,,
"MOBIITI:StopPlace:43397",,"Eymon",,44.97142,-0.321737,,,1,,,2,,
"MOBIITI:StopPlace:44241",,"Peillic",,44.631393,-0.530548,,,1,,,2,,
"MOBIITI:StopPlace:43396",,"Canet",,44.957817,-0.306641,,,1,,,2,,
"MOBIITI:StopPlace:44242",,"Curtot",,44.654713,-0.506463,,,1,,,2,,
"MOBIITI:StopPlace:43399",,"Eglise",,44.96769,-0.306316,,,1,,,2,,
"MOBIITI:StopPlace:44247",,"La Prade",,44.696922,-0.511657,,,1,,,2,,
"MOBIITI:StopPlace:43398",,"Gaudin",,45.0201,-0.337051,,,1,,,2,,
"MOBIITI:StopPlace:44248",,"Cordon d'Or",,44.71989,-0.518388,,,1,,,2,,
"MOBIITI:StopPlace:44245",,"Rue des Sources",,44.706604,-0.457714,,,1,,,2,,
"MOBIITI:StopPlace:44246",,"Le Pontet",,44.71023,-0.518274,,,1,,,2,,
"MOBIITI:StopPlace:56217","","LIBOURNE - Centre Commercial","",44.901894,-0.220893,,,1,,,0,,
"MOBIITI:StopPlace:43391",,"Farideuil",,44.974003,-0.386407,,,1,,,2,,
"MOBIITI:StopPlace:43390",,"Vincent",,44.94639,-0.289223,,,1,,,2,,
"MOBIITI:StopPlace:44240",,"Jacoulet",,44.65285,-0.533504,,,1,,,2,,
"MOBIITI:StopPlace:43393",,"Perey",,44.97022,-0.318308,,,1,,,2,,
"MOBIITI:StopPlace:43392",,"Terrachère",,44.9529,-0.306149,,,1,,,2,,
"MOBIITI:StopPlace:45109",,"Cales",,44.47585,-0.227985,,,1,,,2,,
"MOBIITI:StopPlace:45107",,"Crabey",,44.398148,-0.125358,,,1,,,2,,
"MOBIITI:StopPlace:45108",,"Bourg",,44.393673,-0.109362,,,1,,,2,,
"MOBIITI:StopPlace:45101",,"Centre",,44.431602,-0.21394,,,1,,,2,,
"MOBIITI:StopPlace:45585",,"Coubertin",,44.86222,-0.645088,,,1,,,0,,
"MOBIITI:StopPlace:44254",,"Le Reys",,44.673656,-0.493818,,,1,,,2,,
"MOBIITI:StopPlace:45102",,"Les Acacias",,44.437473,-0.225595,,,1,,,2,,
"MOBIITI:StopPlace:46432",,"Château Rouquey",,44.828075,-0.671195,,,1,,,0,,
"MOBIITI:StopPlace:44255",,"Roman",,44.68234,-0.511025,,,1,,,2,,
"MOBIITI:StopPlace:44252",,"Croix de l'Aruan",,44.7034,-0.452086,,,1,,,2,,
"MOBIITI:StopPlace:46431",,"Lycée sud Médoc","Bois de Mont",44.904896,-0.71362,,,1,,,0,,
"MOBIITI:StopPlace:45100",,"La Potence",,44.39994,-0.131719,,,1,,,2,,
"MOBIITI:StopPlace:44253",,"Gare TER",,44.700806,-0.450203,,,1,,,2,,
"MOBIITI:StopPlace:44258",,"Av. du Lac",,44.757374,-0.636389,,,1,,,2,,
"MOBIITI:StopPlace:45105",,"La Tuilerie",,44.38874,-0.056938,,,1,,,2,,
"MOBIITI:StopPlace:46437",,"Oscar Auriac",,44.818287,-0.700224,,,1,,,0,,
"MOBIITI:StopPlace:45106",,"Caserne des Pompiers",,44.38501,-0.040527,,,1,,,2,,
"MOBIITI:StopPlace:44259",,"Lac Vert",,44.742752,-0.64961,,,1,,,2,,
"MOBIITI:StopPlace:45103",,"Stade",,44.435623,-0.220846,,,1,,,2,,
"MOBIITI:StopPlace:44256",,"Armingas",,44.67301,-0.519321,,,1,,,2,,
"MOBIITI:StopPlace:45104",,"Centre",,44.387024,-0.043976,,,1,,,2,,
"MOBIITI:StopPlace:46434",,"RP Mitterrand",,44.814125,-0.712764,,,1,,,0,,
"MOBIITI:StopPlace:45588",,"Mairie du Haillan",,44.872906,-0.677782,,,1,,,0,,
"MOBIITI:StopPlace:44257","","Gare TER","",44.71677,-0.506251,,,1,,,2,,
"MOBIITI:StopPlace:44250",,"Place",,44.696407,-0.446292,,,1,,,2,,
"MOBIITI:StopPlace:44251",,"Tout Vent",,44.705334,-0.454999,,,1,,,2,,
"MOBIITI:StopPlace:56249","","LIBOURNE - Max Linder","",44.91726,-0.240516,,,1,,,0,,
"MOBIITI:StopPlace:45118",,"Londeix",,44.321747,-0.243264,,,1,,,2,,
"MOBIITI:StopPlace:45119",,"Bourg",,44.292267,-0.261702,,,1,,,2,,
"MOBIITI:StopPlace:44265",,"Centre Commercial",,44.75102,-0.64183,,,1,,,2,,
"MOBIITI:StopPlace:45112",,"Bourg",,44.389324,-0.222154,,,1,,,2,,
"MOBIITI:StopPlace:46444","","Mérignac Centre","",44.84156,-0.647351,,,1,,,2,,
"MOBIITI:StopPlace:45113",,"Encal",,44.406574,-0.224603,,,1,,,2,,
"MOBIITI:StopPlace:44266",,"Salle des Fêtes",,44.526714,-0.657863,,,1,,,2,,
"MOBIITI:StopPlace:45110",,"Capette",,44.389767,-0.068336,,,1,,,2,,
"MOBIITI:StopPlace:44263",,"Bld Broustey",,44.75729,-0.642763,,,1,,,2,,
"MOBIITI:StopPlace:44264",,"Pres de Petiot",,44.75393,-0.641677,,,1,,,2,,
"MOBIITI:StopPlace:45111",,"Bourg",,44.42447,-0.182744,,,1,,,2,,
"MOBIITI:StopPlace:44269",,"Bourg",,44.60502,-0.770309,,,1,,,2,,
"MOBIITI:StopPlace:45116",,"Maison de Retraite",,44.29006,-0.258226,,,1,,,2,,
"MOBIITI:StopPlace:45117",,"Gendarmerie",,44.29633,-0.259133,,,1,,,2,,
"MOBIITI:StopPlace:44267",,"Le Sarroc",,44.66209,-0.736407,,,1,,,2,,
"MOBIITI:StopPlace:45114",,"Houn de la Peyre",,44.39242,-0.235682,,,1,,,2,,
"MOBIITI:StopPlace:44268",,"Tournebride",,44.646015,-0.746093,,,1,,,2,,
"MOBIITI:StopPlace:45115",,"CAT Haute Lande",,44.283207,-0.25313,,,1,,,2,,
"MOBIITI:StopPlace:44261",,"La House",,44.74858,-0.641101,,,1,,,2,,
"MOBIITI:StopPlace:44262",,"Allee du Vivier",,44.75893,-0.637671,,,1,,,2,,
"MOBIITI:StopPlace:44260",,"Quartier Lauray",,44.52719,-0.811644,,,1,,,2,,
"MOBIITI:StopPlace:45129",,"Chat. Madame",,44.649254,-0.021404,,,1,,,2,,
"MOBIITI:StopPlace:44276",,"Le Barbareau",,44.630173,-0.755668,,,1,,,2,,
"MOBIITI:StopPlace:45123",,"Bourg",,44.370674,-0.243747,,,1,,,2,,
"MOBIITI:StopPlace:45124",,"Charron",,44.37446,-0.241961,,,1,,,2,,
"MOBIITI:StopPlace:44277",,"Le Champ Neuf 2",,44.588337,-0.739049,,,1,,,2,,
"MOBIITI:StopPlace:44274",,"Le Garde",,44.61,-0.767862,,,1,,,2,,
"MOBIITI:StopPlace:45121",,"Zone Activite",,44.516075,-0.236596,,,1,,,2,,
"MOBIITI:StopPlace:44275",,"St Jacques",,44.666733,-0.733593,,,1,,,2,,
"MOBIITI:StopPlace:45122",,"Piouguet",,44.36684,-0.243225,,,1,,,2,,
"MOBIITI:StopPlace:45127",,"Rival",,44.656555,-0.018531,,,1,,,2,,
"MOBIITI:StopPlace:45128",,"Mairie",,44.652126,-0.020633,,,1,,,2,,
"MOBIITI:StopPlace:44278",,"La Vignolle",,44.573883,-0.779647,,,1,,,2,,
"MOBIITI:StopPlace:45125",,"Le Bois du Fond",,44.344772,-0.235724,,,1,,,2,,
"MOBIITI:StopPlace:44279",,"Perrin",,44.552193,-0.846271,,,1,,,2,,
"MOBIITI:StopPlace:45126",,"Bourg",,44.6802,-0.011507,,,1,,,2,,
"MOBIITI:StopPlace:44272",,"Le Champ Neuf 1",,44.58617,-0.740304,,,1,,,2,,
